,Authors,ArticleTitle,Date,Abstract,Keywords,Affiliations
151,"W. Wang, CC. Pan, WY. Zhao, JY. Sheng, QQ. Wu and SS. Chen, ","""Comments on ""Effect of type 2 diabetes mellitus in the prognosis of acute-on-chronic liver failure patients in China""."", ",Apr. 2022,"""A study addressing the influence of type 2 diabetes on the prognosis of acute-on-chronic liver failure patients was reviewed. Some statistical deficiencies were found in the reviewed article, and the sample size was too small to support the study. In addition, age should have been considered as one of the prognostic factors.""","Age, Complication, Liver failure, Prognosis, Type 2 diabetes mellitus, ","""Department of Interventional Oncology, Taizhou Municipal Hospital, Taizhou 318000, Zhejiang Province, China."", ""School of Medicine Taizhou University, Taizhou 318000, Zhejiang Province, China."", ""School of Medicine Taizhou University, Taizhou 318000, Zhejiang Province, China."", ""School of Medicine Taizhou University, Taizhou 318000, Zhejiang Province, China."", ""School of Medicine Taizhou University, Taizhou 318000, Zhejiang Province, China."", ""Department of Obstetrics and Gynecology, Taizhou Women and Children's Hospital of Wenzhou Medical University, Taizhou 318000, Zhejiang Province, China. chensisiobstetrics@126.com."", "
152,"T. Yamaguchi and T. Sugimoto, ","""Bone metabolism and fracture risk in type 2 diabetes mellitus Review."", ",2011,"""Osteoporosis and type 2 diabetes mellitus (T2DM) are now prevalent in aging and westernized societies, and adversely affect the health of the elderly people by causing fractures and vascular complications, respectively. Recent experimental and clinical studies show that both disorders are etiologically related to each other through the actions of osteocalcin and adiponectin. Meta-analyses of multiple clinical studies show that hip fracture risk of T2DM patients is increased to 1.4 to 1.7-folds, although BMD of the patients is not diminished. Vertebral fracture risk of T2DM patients is also increased, and BMD is not useful for assessing its risk. These findings suggest that bone fragility in T2DM depends on bone quality deterioration rather than bone mass reduction. Thus, surrogate markers are needed to replace the insensitivity of BMD in assessing fracture risks of T2DM patients. Markers related to advanced glycation end products as well as insulin-like growth factor-I may be such candidates, because these substances were experimentally shown to modulate bone quality in DM. In practice, it is important for physicians to assess fracture risk in T2DM patients by evaluating prior VFs and fracture histories using spine X-ray and interview, respectively, until the usefulness of surrogate markers is established.""",,"""Internal Medicine 1, Shimane University Faculty of Medicine, Japan. yamaguch@med.shimane-u.ac.jp"", "
153,"HL. Lazar, ","""Commentary: SGLT2 inhibitors reduce mortality and heart failure in patients with type 2 diabetes mellitus-is metabolic reprogramming the mechanism for these favorable outcomes?,"" ",Sep. 2022,,,"""Division of Cardiac Surgery, Boston University School of Medicine, Boston, Mass. Electronic address: harold.l.lazar@gmail.com."", "
154,"M. Menzen, ","""60/m-Review of the existing treatment of a type 2 diabetes mellitus : Preparation for the medical specialist examination: part 130."", ",Apr. 2022,,,"""Abteilung Innere Medizin - Diabetologie, Gemeinschaftskrankenhaus Bonn, Bonner Talweg 4-6, 53113, Bonn, Deutschland. m.menzen@gk-bonn.de."", "
155,"F. Formiga, ","""Type 2 diabetes mellitus in the elderly, a great opportunity and many challenges."", ",2010,,,
156,"L. Hieronymus and GT. Miller, ","""TYPE 2 DIABETES AND A HEALTHY FAMILY LIFESTYLE."", ",2015,,,
157,"J. Unger, D. Hinnen, B. Schreiner and C. Parkin, ","""Putting medications where they belong: practical advice for managing type 2 diabetes in clinical practice."", ",Feb. 2013,"""Type 2 diabetes mellitus (T2DM) is a complex metabolic disorder that affects almost 24 million Americans. Healthcare providers often do not initiate and/or intensify therapy appropriately during patient visits, which may be due, in part, to a lack of understanding of the new diabetes medications. This review focuses on means by which primary care nurse practitioners (NPs) might evaluate the utility of pharmacologic agents based upon their relation to the pathogenesis of T2DM.""",,"""Catalina Research Institute, Chino, California, USA."", "
158,"FJ. Friel, ","""On the alert for type 2 diabetes: when to screen for this quiet, deadly disease."", ",Jan. 2004,,,"""Touro University International, USA."", "
159,"pM. Nilsson, R. Cifkova and SE. Kjeldsen, ","""Treatment of Hypertension in patients with type-2 diabetes mellitus."", ",2006,,,"""Department of Medicine, University Hospital, Malmö, Sweden."", "
160,"GM. Allan, D. Ross and J. Romney, ","""Type 2 diabetes and hemoglobin A1c targets."", ",Nov. 2013,,,
161,"W. Lawrence, S. Conrad and AS. Moore, ","""Type 2 diabetes: growing to epic proportions."", ",Jan. 2012,,,"""Winston Salem State University, Winston Salem, NC, USA."", "
162,"JS. Skyler, ","""Glucose control in type 2 diabetes mellitus."", ",Nov. 1997,,,
163,"A. Kassab and A. Piwowar, ","""Cell oxidant stress delivery and cell dysfunction onset in type 2 diabetes."", ",Sep. 2012,"""Most known pathways of diabetic complications involve oxidative stress. The mitochondria electron transport chain is a significant source of reactive oxygen species (ROS) in insulin secretory cells, insulin peripheral sensitive cells and endothelial cells. Elevated intracellular glucose level induces tricarboxylic acid cycle electron donor overproduction and mitochondrial proton gradient increase leading to an increase in electron transporter lifetime. Subsequently, the electrons leaked combine with respiratory oxygen (O(2)) resulting in superoxide anion ((•)O(2)(-)) production. Advanced glycation end products derive ROS via interaction with their receptors. Elevated diacylglycerol and ROS activate the protein kinase C pathway which, in turn, activates NADPH oxidases. A vicious circle of pathway derived ROS installs. Pathologic pathways induced ROS are activated and persistent though glycemia returns to normal due to hyperglycemia memory. Endothelial nitric oxide synthase may produce both superoxide anion ((•)O(2)(-)) and nitric oxide (NO) leading to peroxynitrite ((•)ONOO(-)) generation. Homocysteine is also implicated in oxidative stress pathogenesis. In this paper we have highlighted the pathologic mechanisms of ROS on atherosclerosis, renal dysfunction, retina dysfunction and nerve dysfunction in type 2 diabetes. Cell oxidant stress delivery have pivotal role in cell dysfunction onset and progression of angiopathies but an early introduction of good glycemic control may protect cells more efficiently than antioxidants.""",,"""Biochemistry Laboratory, CHU Farhat Hached, Sousse, Tunisia. kassab.asma@laposte.net"", "
164,"SH. Min, ","""Association between Type 2 Diabetes Mellitus and Brain Atrophy: A Meta-Analysis (Diabetes Metab J 2022;46:781-802)."", ",Sep. 2022,,,"""Division of Endocrinology and Metabolism, Department of Internal Medicine, Asan Medical Center, University of Ulsan College of Medicine, Seoul, Korea."", "
165,"A. Grimaldi, ","""Type 2 diabetes of the adult."", ",Mar. 2007,,,"""Service de diabétologie-métabolisme, groupe hospitalier La Pitié-Salpêtrière, 75013 Paris. andre.grimaldi@psl.aphp.fr"", "
166,"Z. Ma, N. Patel, P. Vemparala and M. Krishnamurthy, ","""Metformin is associated with favorable outcomes in patients with COVID-19 and type 2 diabetes mellitus."", ",Apr. 2022,"""Coronavirus disease 2019 (COVID-19) is a new pandemic the entire world is facing since December of 2019. Several risk factors are identified in developing severe disease and one of which is preexisting type 2 diabetes mellitus. Metformin is known to have host-directed anti-viral and anti-inflammatory properties. However, whether these effects offer lower mortality remains unclear. In this retrospective study, we aim to address whether metformin use prior to admission decreases mortality in patients with COVID-19 and pre-existing type 2 diabetes mellitus. A total of 1356 hospitalized patients with COVID-19 and pre-existing type 2 diabetes mellitus was analyzed by multivariable regression. Covariates that potentially confound the association were further adjusted using propensity score matching or inverse probability of treatment weighting. We found that metformin therapy prior to admission in patients with COVID-19 and type 2 diabetes mellitus was significantly associated with less primary outcome events including in-hospital mortality and hospice care enrollment with an odds ratio (OR) of 0.25 (95% CI 0.06-0.74) and less in-hospital length of stay, compared to the non-metformin group. Our results provide supporting evidence that metformin may confer increased survival in patients with COVID-19 and type 2 diabetes mellitus treated with metformin prior to hospitalization.""",,"""Department of Medicine, St Luke's University Health Network-Easton Campus, 250 S, 21st Street, Easton, PA, 18042, USA."", ""Department of Medicine, St Luke's University Health Network-Easton Campus, 250 S, 21st Street, Easton, PA, 18042, USA."", ""Department of Medicine, St Luke's University Health Network-Easton Campus, 250 S, 21st Street, Easton, PA, 18042, USA."", ""Department of Medicine, St Luke's University Health Network-Easton Campus, 250 S, 21st Street, Easton, PA, 18042, USA. Mahesh.Krishnamurthy@sluhn.org."", "
167,"T. Zhang, M. Shaw and N. Cherbuin, ","""Association between Type 2 Diabetes Mellitus and Brain Atrophy: A Meta-Analysis (Diabetes Metab J 2022;46:781-802)."", ",Sep. 2022,,,"""Centre for Research on Ageing, Health and Wellbeing, The Australian National University, Canberra, Australia."", ""Centre for Research on Ageing, Health and Wellbeing, The Australian National University, Canberra, Australia."", ""Centre for Research on Ageing, Health and Wellbeing, The Australian National University, Canberra, Australia."", "
168,"AA. Parulkar and VA. Fonseca, ","""Recent advances in pharmacological treatment of type 2 diabetes mellitus."", ",1999,"""Several new pharmacological agents attempt to correct abnormalities in the pathogenesis of type 2 diabetes mellitus. The availability of agents with different mechanisms of action and side-effect profiles permits the design of individualized regimens that address the various pathophysiologic abnormalities.""",,"""Department of Medicine, Tulane University Medical Center, New Orleans, LA 70112-2699, USA."", "
169,"P. King, I. Peacock and R. Donnelly, ","""The UK prospective diabetes study (UKPDS): clinical and therapeutic implications for type 2 diabetes."", ",Nov. 1999,,,"""Jenny O'Neill Diabetes Centre, Derbyshire Royal Infirmary, Derby, UK."", "
170,"EA. Gale, ","""Is type 2 diabetes a category error?,"" ",Jun. 2013,,,"""University of Bristol, Bristol, UK. edwin.gale@bristol.ac.uk"", "
171,"C. Buechler and A. Schäffler, ","""Does global gene expression analysis in type 2 diabetes provide an opportunity to identify highly promising drug targets?,"" ",Dec. 2007,"""The recent technological advances in high-throughput gene expression analysis allow the simultaneous investigation of thousands of genes. These technologies represent promising tools for the identification of new drug targets and considerable progress has been achieved in cancer research where microarray data provide a basis to design new drugs and to predict adverse reactions and the efficacy of chemotherapy. The metabolic syndrome represents a cluster of disorders including high blood pressure, insulin resistance/type 2 diabetes mellitus, visceral obesity and dyslipidaemia with fatty liver disease being a common associated complication. High-throughput gene expression analyses using GeneChips, microarrays and serial analysis of gene expression (SAGE) have been applied to study global gene expression in insulin resistance/type 2 diabetes mellitus. Type 2 diabetes mellitus is a multifactorial and polygenic disease by which several organs are affected. Therefore, the identification of both, disease causing and therapeutically relevant target genes is an ambitious challenge. In the present review we focus on genomic approaches that used biopsies from human skeletal muscle, liver and adipose tissue, the main organs affected by insulin resistance. Members of the PPARgamma coactivator-1 (PGC-1) family of transcriptional coactivators are decreased in skeletal muscle in insulin resistance accounting for the reduced expression of genes involved in mitochondrial oxidative phosphorylation. Hepatic steatosis is also linked to alterations in mitochondrial phosphorylation and oxidative metabolism. An up regulation of pro-inflammatory genes can be detected in early stages of fatty liver disease without histological signs of inflammation. Impaired adipogenesis, intra-adipose accumulation of macrophages and a sustained release of inflammatory and acute phase proteins are characteristic features of adipose tissue in obesity and may aggravate systemic insulin resistance.""",,"""Department of Internal Medicine I, University Hospital of Regensburg, D-93042 Regensburg, Germany. christa.buechler@klinik.uni-regensburg.de"", "
172,"KA. Korsah and J. Agyeman-Yeboah, ","""Narratives of type 2 diabetes mellitus patients regarding the influence of social issues on diabetes self-management: Implications for patient care."", ",Aug. 2023,"""To explore the perspectives of individuals living with type 2 diabetes mellitus on the influence of social factors on diabetes self-management in Ghanaian context.""","diabetes mellitus, management, social, ","""School of Nursing and Midwifery, University of Ghana, Accra, Ghana."", ""International Maritime Hospital, Tema, Ghana."", ""Knutsford University College, Accra, Ghana."", "
173,,"""The mysteries of type 2 diabetes in developing countries."", ",Apr. 2016,"""More research is needed in low- and middle-income countries where the epidemic of type 2 diabetes is on the rise. KM Venkat Narayan talks to Fiona Fleck.""",,
174,"HF. McClintock, ET. Schatell and HR. Bogner, ","""Cardiovascular Disease and Medication Adherence Among Patients with Type 2 Diabetes Mellitus in an Underserved Community."", ",2022,"""Optimal management of Type 2 diabetes mellitus (Type 2 DM) is impeded by widespread nonadherence to efficacious medication regimens. Cardiovascular disease (CVD) is the most common cause of morbidity and mortality among persons with Type 2 DM. In this work we evaluated the relationship between CVD and medication adherence to antihypertensives, oral hypoglycemic agents, and antidepressants among patients with Type 2 DM. We also sought to understand how patients perceived barriers to and facilitators of adherence to medications. Adherence to medications was measured in 72 primary care patients from the West Philadelphia area using electronic monitoring (Medication Event Monitoring System caps) over 12 weeks. Standard questions assessed the presence of CVD. Participants answered open-ended questions about barriers to and facilitators of medication adherence. Participants who had CVD were significantly less likely to achieve ≥80% adherence to an antidepressant, oral hypoglycemic agent, and antihypertensive medications at 12 weeks. Participants identified four themes related to medication adherence: Interference from Psychosocial Demands, Need for Technological Innovation, Awareness of Disease Severity, and Integrating Community Linkages. Interventions to improve medication adherence among persons with Type 2 DM in underserved communities may aim to address social determinants of health, create community linkages, emphasize disease severity and utilize apps which are integrated with existing primary care services.""","Type 2 diabetes mellitus (Type 2 DM), cardiovascular disease (CVD ), medication adherence, underserved community, ","""Department of Public Health, College of Health Sciences, Arcadia University, Glenside, Pennsylvania."", ""Department of Public Health, College of Health Sciences, Arcadia University, Glenside, Pennsylvania."", ""Center for Clinical Epidemiology and Biostatistics, Perelman School of Medicine, University of Pennsylvania, Philadelphia, Pennsylvania."", ""Department of Family Medicine and Community Health, Perelman School of Medicine, University of Pennsylvania, Philadelphia, Pennsylvania."", "
175,"PZ. Li, LY. Zhu and SH. Zhu, ","""Mechanism research progress of bariatric surgery for type 2 diabetes mellitus."", ",Nov. 2012,"""Patients with type 2 diabetes mellitus experience a complete and comfirm diabetic remission after bariatric surgery. Although weight-loss, reduction of food intake and other factors may play important roles in diabetic resolution after bariatric surgery, the major mechanism is the change in gastrointestinal hormones. Further research is essential to better understand these mechanisms and bariatric surgery may ultimately become a major tool in the treatment of type 2 diabetes mellitus.""",,"""Department of General Surgery, The Third Xiangya Hospital, Central South University, Changsha 410013, China."", "
176,"L. Cadwallader and RL. Ogletree, ","""Control in patients with type 2 diabetes mellitus."", ",Apr. 2012,,,
177,"L. Monnier and A. Avignon, ","""Diet and fitness in type 2 diabetes."", ",Jan. 1999,"""Fitness and dietary measures remain the corner stone of the treatment of type 2 diabetic patients. The two objectives of these measures are: (i) to improve the glycemic control and to normalize the biological abnormalities which are frequently associated with the diabetic state; (ii) to prevent the micro and macrovascular complications. All these measures should be simplified, and sufficiently attractive to be acceptable and accepted by the patient. Weight-loss objectives in overweight diabetic patients should remain within reasonable limits: a few kilogram- loss is sufficient in many cases. In order to maintain the palatability of the diet, the dietary fat intake must be set at sufficient high levels, just by adjusting the carbohydrates/monounsaturates fat balance. When physical training is recommended, this activity must appear as a leisure and not as a constraint. More generally the management plan should be multifactorial and avoid contradictory measures.""",,"""Service des maladies métaboliques Hôpital Lapeyronie, Montpellier."", "
178,"JB. Rey and M. Hawks, ","""Prevention or Delay of Type 2 Diabetes Mellitus: Recommendations From the American Diabetes Association."", ",Apr. 2022,,,"""Uniformed Services University of the Health Sciences, Bethesda, MD, USA."", ""Uniformed Services University of the Health Sciences, Bethesda, MD, USA."", "
179,"J. Arroyo Bros, A. Caixàs Pedragós and FX. Pi-Sunyer, ","""Treatment of type 2 diabetes: revision of current therapeutical options and priorities."", ",Nov. 2007,"""The paradigm of type 2 diabetes mellitus treatment is based in an adequate meal plan and the regular practice of physical exercise. The benefits of these measures are of evident as it is the perseverance in their compliance. In the daily practice, this reality favours the early implementation of a pharmacological therapy that, in the opinion of different experts, would be simultaneous to the introduction of life style changes. In the last years, new drugs have been developed. On the one hand, there are agents with beneficial effects not only on blood glucose control but also on the components of metabolic syndrome. Other drugs, according to different experts, have doubtful therapeutical contribution. The appearance of new drugs to treat obesity, associated with diabetes or not, extends other possibilities of choice to take into account. The great variety of options makes the decision of the adequate therapy more difficult. In the last decade, many therapeutic guidelines have been developed, with convergences and divergences that may mislead the inexpert practitioners. In this review we propose some practical advise in diet and exercise, and an evaluation of the different drugs and rules of intervention proposed in the different therapeutic guidelines. The ultimate goal is to facilitate and direct type 2 diabetes management.""",,"""Unidad de Diabetes, Endocrinología y Nutrición, Hospital de Sabadell, Sabadell, Barcelona, Spain."", "
180,"CY. Newmark and H. Anhalt, ","""Type 2 diabetes in children and adolescents."", ",Feb. 2007,,,"""Saint Barnabas Medical Center/Ambulatory Care Center, Livingston, New Jersey 07039, USA. cnewmark@sbhcs.com"", "
181,"RE. Pratley, ","""The early treatment of type 2 diabetes."", ",Sep. 2013,"""The growing epidemic of type 2 diabetes is one of the leading causes of premature morbidity and mortality worldwide, mainly due to the micro- and macrovascular complications associated with the disease. A growing body of evidence suggests that although the risk of developing complications is greater with glucose levels beyond the established threshold for diagnosis--increasing in parallel with rising hyperglycemia-individuals with glucose levels in the prediabetic range are already at increased risk. Early intervention, ideally as soon as abnormalities in glucose homeostasis are detected, is of great importance to minimize the burden of the disease. However, as the early stages of the disease are asymptomatic, diagnosing prediabetes and early overt type 2 diabetes is challenging. The aim of this article is to discuss these challenges, the benefits of early intervention--with emphasis on the prevention trials showing that progression to type 2 diabetes can be delayed by addressing prediabetes--and the existing evidence-based guidelines that have been drawn to optimize the standards of care at the prediabetes and overt type 2 diabetes stages.""","Complications, Diabetes prevention trials, Diagnosis, Early intervention, Prediabetes, ","""Florida Hospital Diabetes and Translational Research Institute, Sanford Burnham Medical Research Institute, Orlando, Fla 32804, USA. richard.pratley@flhosp.org"", "
182,"P. Struebing, ","""Type 2 diabetes. Thoughts about an epidemic and your role in battling it."", ",Apr. 2000,,,
183,"ED. Abel, JR. Ingelfinger, J. Kolko, S. Linhales Barker, D. Lopez, M. Mejia, M. Peek, JEB. Reusch and CJ. Rosen, ","""Type 2 Diabetes - Controlling the Epidemic, Episode 2: After the Diagnosis - Making a Plan and Addressing Social Determinants of Health."", ",Sep. 2023,,,"""From UCLA Health, Los Angeles (E.D.A.); the University of Chicago, Chicago (M.P.); and the University of Colorado, Denver Veterans Affairs Medical Center, Denver (J.E.B.R.)."", ""From UCLA Health, Los Angeles (E.D.A.); the University of Chicago, Chicago (M.P.); and the University of Colorado, Denver Veterans Affairs Medical Center, Denver (J.E.B.R.)."", ""From UCLA Health, Los Angeles (E.D.A.); the University of Chicago, Chicago (M.P.); and the University of Colorado, Denver Veterans Affairs Medical Center, Denver (J.E.B.R.)."", ""From UCLA Health, Los Angeles (E.D.A.); the University of Chicago, Chicago (M.P.); and the University of Colorado, Denver Veterans Affairs Medical Center, Denver (J.E.B.R.)."", ""From UCLA Health, Los Angeles (E.D.A.); the University of Chicago, Chicago (M.P.); and the University of Colorado, Denver Veterans Affairs Medical Center, Denver (J.E.B.R.)."", ""From UCLA Health, Los Angeles (E.D.A.); the University of Chicago, Chicago (M.P.); and the University of Colorado, Denver Veterans Affairs Medical Center, Denver (J.E.B.R.)."", ""From UCLA Health, Los Angeles (E.D.A.); the University of Chicago, Chicago (M.P.); and the University of Colorado, Denver Veterans Affairs Medical Center, Denver (J.E.B.R.)."", ""From UCLA Health, Los Angeles (E.D.A.); the University of Chicago, Chicago (M.P.); and the University of Colorado, Denver Veterans Affairs Medical Center, Denver (J.E.B.R.)."", ""From UCLA Health, Los Angeles (E.D.A.); the University of Chicago, Chicago (M.P.); and the University of Colorado, Denver Veterans Affairs Medical Center, Denver (J.E.B.R.)."", "
184,"KG. Marshall, ","""The folly of population screening for type 2 diabetes."", ",Jun. 1999,,,
185,"DE. Trachtenbarg, ","""Ten errors to avoid in managing type 2 diabetes. Getting back to the basics."", ",Aug. 1998,"""It is important to remember the basics when treating patients with diabetes. Follow current diagnostic criteria, and clearly communicate findings to patients. Set target glucose levels, and encourage patients to take an active role in controlling their disease. Set time limits for therapy effectiveness, and use combination therapy with caution. Recommend use of home glucose monitors and regular monitoring of glucose levels throughout the day. For more flexibility, adapt insulin dosages to patient needs and use basal insulin, rather than sliding-scale insulin. Finally, remember that early detection and intervention can delay or even prevent complications.""",,"""University of Illinois College of Medicine, USA. tracht@mmci.org"", "
186,"S. Madsbad, ","""Type 2-diabetes--a coherent health care system needed."", ",Sep. 2012,,,
187,"D. Simon, ","""Epidemiology of type 2 diabetes. Elements of prevention."", ",Apr. 1992,,,
188,"AR. Rolla, ","""Addressing the need to tailor treatment to the spectrum of type 2 diabetes: new perspectives."", ",May. 2009,"""Type 2 diabetes mellitus is characterized by the progressive loss of beta cell function, which occurs after many years of insulin resistance. Within this definition, clinicians may see a diverse array of presentations, suggesting different proportions of these two pathogenic factors and a complex etiology. There are also differences in the rate of type 2 diabetes progression in each patient, so treatments must be reviewed frequently to respond to changing severity of pathophysiologies. This article first considers some of the heritable factors and the pathogenic heterogeneity of type 2 diabetes. Relevant socioeconomic and demographic factors influencing disease development are reviewed after that, while emphasizing how a patient's treatment requires changes over time.""",,"""Beth Israel Deaconess Medical Center, Harvard Medical School, Boston, Massachusetts 02215, USA. arolla@caregroup.harvard.edu"", "
189,"Y. Wu, X. He, J. Zhou, Y. Wang, L. Yu, X. Li, T. Liu and J. Luo, ","""Impact of healthy lifestyle on the risk of type 2 diabetes mellitus in southwest China: A prospective cohort study."", ",Dec. 2022,"""To explore the influence of nine healthy lifestyle factors on the risk of type 2 diabetes mellitus in adults in Guizhou, China.""","Healthy lifestyle, Incidence, Type 2 diabetes mellitus, ","""Guizhou Center for Disease Control and Prevention, Guiyang, China."", ""Department of Endocrinology and Metabolism, Guizhou Provincial People's Hospital, Guiyang, China."", ""Guizhou Center for Disease Control and Prevention, Guiyang, China."", ""Guizhou Center for Disease Control and Prevention, Guiyang, China."", ""Guizhou Center for Disease Control and Prevention, Guiyang, China."", ""Guizhou Center for Disease Control and Prevention, Guiyang, China."", ""Guizhou Center for Disease Control and Prevention, Guiyang, China."", ""Department of Endocrinology and Metabolism, Guizhou Provincial People's Hospital, Guiyang, China."", "
190,"M. Puig-Domingo, ","""Control of postprandial state abnormalities: meeting the challenge of type 2 diabetes?,"" ",Aug. 2000,,,"""Hospital de Mataró Research Unit, Carretera de Cirera, Mataró, Spain. pass@csm.scs.es"", "
191,"RA. DeFronzo, ","""Current issues in the treatment of type 2 diabetes. Introduction."", ",Mar. 2010,,,
192,"CA. Reasner and RA. Defronzo, ","""Treatment of type 2 diabetes mellitus: a rational approach based on its pathophysiology."", ",May. 2001,,,
193,"D. Lippi, D. Caleri, A. Bucalossi and CM. Rotella, ","""The role of liver in glucose homeostasis in type 2 diabetes: the modernity of Claude Bernard's studies."", ",Apr. 1994,,,"""Division of Endocrinology, University of Florence Medical School, Italy."", "
194,"EK. Mitsiou, K. Tziomalos, P. Anagnostis, A. Karagiannis and VG. Athyros, ","""Multifactorial intervention for the prevention of vascular complications of type 2 diabetes."", ",2009,,,
195,"G. Casey, ","""The glucose corrected disease--understanding type 2 diabetes mellitus."", ",Mar. 2011,,,
196,"MJ. Holness, ML. Langdown and MC. Sugden, ","""Early-life programming of susceptibility to dysregulation of glucose metabolism and the development of Type 2 diabetes mellitus."", ",Aug. 2000,"""There is increasing epidemiological evidence in humans which associates low birthweight with later metabolic disorders, including insulin resistance and glucose intolerance. There is evidence that nutritional and hormonal factors (e.g. maternal protein restriction, exposure to excess maternal glucocorticoids) markedly influence intra-uterine growth and development. A picture is also emerging of the biochemical and physiological mechanisms that may underlie these effects. This review focuses on recent research directed towards understanding the molecular basis of the relationship between indices of poor early growth and the subsequent development of glucose intolerance and Type 2 diabetes mellitus using animal models that attempt to recreate the process of programming via an adverse intra-uterine or neonatal environment. Emphasis is on the chain of events and potential mechanisms by which adverse adaptations affect pancreatic-beta-cell insulin secretion and the sensitivity to insulin of key metabolic processes, including hepatic glucose production, skeletal-muscle glucose disposal and adipose-tissue lipolysis. Unravelling the molecular details involved in metabolic programming may provide new insights into the pathogenesis of impaired glucoregulation and Type 2 diabetes.""",,"""Department of Diabetes and Metabolic Medicine, Division of General and Developmental Medicine, St. Bartholomew's and the Royal London School of Medicine and Dentistry, Queen Mary and Westfield College, Mile End Road, London E1 4NS, U.K."", "
197,"K. Rett, M. Wicklmayr and E. Standl, ","""Management of the patient with type 2 diabetes. What is new?,"" ",Oct. 1995,,,
198,"D. Mauricio and F. Rius, ","""Current controversies in glycemic control targets. What do the results of the latest clinical trials tell us about the approach to type 2 diabetes mellitus?."", ",Sep. 2010,"""The aim of this article is to discuss the implications of the results obtained in the latest large-scale clinical trials designed to evaluate the effect of intensive glycemic control on the vascular complications associated with type 2 diabetes mellitus. The current scientific evidence is reviewed and the implications of the ACCORD (The Action to Control Cardiovascular Risk in Diabetes study group), ADVANCE (Action in Diabetes and Vascular disease: Preterax and Diamicron Modified Release Control Evaluation) and VADT (Veterans Affairs Diabetes Trial) clinical trials are discussed. General concerns of the studies and their implications for clinical practice and the management of type 2 diabetes, as well as the questions which still need to be answered by future clinical research are discussed.""",,"""Servicio de Endocrinología y Nutrición, Hospital Universitari Arnau de Vilanova, Institut de Recerca Biomèdica, Lleida, España. dmauricio.lleida.ics@gencat.cat"", "
199,"DF. Kruger, ","""New landscape of type 2 diabetes management."", ",2007,,,"""Division of Endocrinology, Diabetes, and Bone Disorders, Henry Ford Medical Center, Detroit, Michigan, USA."", "
200,"R. Dalan, ","""Letter to the Editor from Dalan: ""Vitamin D Supplementation for Prevention of Type 2 Diabetes Mellitus: To D or Not to D?""."", ",Mar. 2021,,,"""Department of Endocrinology, Tan Tock Seng Hospital, Lee Kong Chian School of Medicine, Nanyang Technological University, Singapore, Singapore."", "
201,"B. Jones, ","""Liraglutide and cardiovascular outcomes in type 2 diabetes."", ",Nov. 2016,,,"""Metabolic Medicine SpR, Imperial College London, London, UK."", "
202,"N. Jessen and LJ. Goodyear, ","""Diabetes: Exercise and type 2 diabetes mellitus--good for body and mind?,"" ",Jun. 2010,,,
203,"O. Vérier-Mine, ","""Outcomes in women with history of gestational diabetes mellitus. Screening and prevention of type 2 diabetes mellitus. Literature review."", ",Dec. 2010,"""Women with a history of gestational diabetes mellitus (GDM) are characterized by a high risk of type 2 diabetes mellitus (T2DM) (X 7), metabolic syndrome (X 2 to 5) and cardiovascular diseases (X 1,7). Women with lesser degrees of glucose intolerance share the same risks. T2DM may occur from postpartum (5 to 14%) to several years later, up to 25 years. Some factors associated with T2DM are identified: obesity, early diagnostic before 24 weeks, high pregnancy OGTT blood glucose or insulinotherapy. Screening for T2DM only with fasting glucose provides less sensibility than with OGTT; HbA1c may supplant these dosages. The recurrence rate of GDM is between 30 and 84%, non-white ethnicity and insulinotherapy during GDM being the best proven predictors. High risk women need repeated life-long screenings for glycemic abnomalies, or when another pregnancy is planned. Among overweight or obese women with history of GDM who show minor glycoregulation disturbances, it is proved that modifications of lifestyle in intensive programs or metformin halve the risk of DT2. However, studies analysing practices show low adhesion to screening; without an intensive program, few women implement lifestyle modifications. These intensive programs should be implemented and proposed to high-risk women. Their therapeutic education should also include prevention of cardiovascular risk factors.""",,"""Service d'endocrinologie-diabétologie-obésité, Hôpital Jean Bernard, Avenue Desandrouin, BP479, 59322 Valenciennes Cedex, France. veriermine-o@ch-valenciennes.fr"", "
204,"Y. Seino, ","""Physiopathology and etiological mechanism involving type 2 diabetes mellitus."", ",Sep. 2004,,,
205,"R. Taylor, ","""The nature of type 2 diabetes: the role for new agents."", ",Jul. 1999,,,"""Royal Victoria Infirmary, Newcastle-upon-Tyne, UK."", "
206,"A. Fagot-Campagna, ","""Appearance of type 2 diabetes in the child, symptom of an epidemic in progress."", ",2003,,,"""Institut de Veille Sanitaire, Département des Maladies Chroniques et Traumatismes, Saint-Maurice, France."", "
207,"BE. Otaigbe and EE. Imafidon, ","""Type 2 diabetes mellitus in a Nigerian child: a case report."", ",Sep. 2011,"""Type 2 diabetes mellitus initially said to be an adult disease is now reported in children and adolescents in the developed countries because of increased incidence of obesity and sedentary habits associated with westernization and lifestyle changes. There is a paucity of reports from Africa.""","Nigerian, Type 2 Diabetes mellitus, child, obese, ","""Paediatric Care Hospital, Port Harcourt, Rivers State, Nigeria. barbiejoe64@yahoo.com"", "
208,"RP. Robertson, DM. Kendall and ER. Seaquist, ","""Diabetes: Strategies to prevent the type 2 diabetes mellitus epidemic."", ",Mar. 2010,,,
209,"PG. Kopelman and GA. Hitman, ","""Diabetes. Exploding type II."", ",,,,"""St Bartholomew's and the Royal London School of Medicine & Dentistry, Queen Mary and Westfield College, UK."", "
