,Authors,ArticleTitle,Date,Abstract,Keywords,Affiliations
128,"M. Gabbay, PR. Cesarini and SA. Dib, ","""Type 2 Diabetes in children and adolescents: literature review."", ",2003,"""To perform a critical review of epidemiology, pathophysiology, diagnosis and treatment of T2DM in youth.""",,"""Escola Paulista de Medicina, São Paulo, SP, 04034-970, Brazil."", "
129,"L. Cadwallader and RL. Ogletree, ","""Control in patients with type 2 diabetes mellitus."", ",Apr. 2012,,,
130,"H. Yau, K. Rivera, R. Lomonaco and K. Cusi, ","""The future of thiazolidinedione therapy in the management of type 2 diabetes mellitus."", ",Jun. 2013,"""Since their approval, thiazolidinediones (TZDs) have been used extensively as insulin-sensitizers for the management of type 2 diabetes mellitus (T2DM). Activation of peroxisomal proliferator-activated receptor gamma (PPARγ) nuclear receptors by TZDs leads to a vast spectrum of metabolic and antiinflammatory effects. In the past decade, clinicians and scientists across the fields of metabolism, diabetes, liver disease (NAFLD), atherosclerosis, inflammation, infertility, and even cancer have had high hopes about the potential for TZDs to treat many of these diseases. However, an increasing awareness about undesirable ""off-target"" effects of TZDs have made us rethink their role and be more cautious about the long-term benefits and risks related to their use. This review examines the most relevant work on the benefits and risks associated with TZD treatment, with a focus on the only PPARγ agonist currently available (pioglitazone), aiming to offer the reader a balanced overview about the current and future role of TZDs in the management of insulin-resistant states and T2DM.""",,"""Division of Endocrinology, Diabetes and Metabolism, Department of Medicine, The University of Florida North Florida/South Georgia Veterans Health System, Gainesville, Florida, USA."", "
131,"S. Colagiuri and D. Davies, ","""The value of early detection of type 2 diabetes."", ",Apr. 2009,"""To examine the value of early detection of type 2 diabetes from the perspective of potential benefits and harms to the individual, and from the perspective of the health system.""",,"""Institute of Obesity, Nutrition and Exercise, The University of Sydney, Sydney, NSW, Australia. scolagiuri@usyd.edu.au"", "
132,"FR. Kaufman and J. Shaw, ","""Type 2 diabetes in youth: rates, antecedents, treatment, problems and prevention."", ",Dec. 2007,,,
133,"Z. Ma, N. Patel, P. Vemparala and M. Krishnamurthy, ","""Metformin is associated with favorable outcomes in patients with COVID-19 and type 2 diabetes mellitus."", ",Apr. 2022,"""Coronavirus disease 2019 (COVID-19) is a new pandemic the entire world is facing since December of 2019. Several risk factors are identified in developing severe disease and one of which is preexisting type 2 diabetes mellitus. Metformin is known to have host-directed anti-viral and anti-inflammatory properties. However, whether these effects offer lower mortality remains unclear. In this retrospective study, we aim to address whether metformin use prior to admission decreases mortality in patients with COVID-19 and pre-existing type 2 diabetes mellitus. A total of 1356 hospitalized patients with COVID-19 and pre-existing type 2 diabetes mellitus was analyzed by multivariable regression. Covariates that potentially confound the association were further adjusted using propensity score matching or inverse probability of treatment weighting. We found that metformin therapy prior to admission in patients with COVID-19 and type 2 diabetes mellitus was significantly associated with less primary outcome events including in-hospital mortality and hospice care enrollment with an odds ratio (OR) of 0.25 (95% CI 0.06-0.74) and less in-hospital length of stay, compared to the non-metformin group. Our results provide supporting evidence that metformin may confer increased survival in patients with COVID-19 and type 2 diabetes mellitus treated with metformin prior to hospitalization.""",,"""Department of Medicine, St Luke's University Health Network-Easton Campus, 250 S, 21st Street, Easton, PA, 18042, USA."", ""Department of Medicine, St Luke's University Health Network-Easton Campus, 250 S, 21st Street, Easton, PA, 18042, USA."", ""Department of Medicine, St Luke's University Health Network-Easton Campus, 250 S, 21st Street, Easton, PA, 18042, USA."", ""Department of Medicine, St Luke's University Health Network-Easton Campus, 250 S, 21st Street, Easton, PA, 18042, USA. Mahesh.Krishnamurthy@sluhn.org."", "
134,"PC. Conlon, ","""A practical approach to type 2 diabetes."", ",Jun. 2001,"""Diabetes mellitus is among the most serious, costly, and in some cases, preventable health care problem in the United States today. Primary care providers such as nurse practitioners are ideally suited to manage chronic conditions such as diabetes and provide counseling and interventions regarding intensive management (i.e., medications, nutrition, and exercise), prevention of complications, immunizations, laboratory screenings, and physical examinations. This article provides a general overview of type 2 diabetes and the role of the nurse practitioner in the prevention and management of this disorder.""",,"""Alivio Medical Center, Chicago, Illinois 60608, USA."", "
135,"SH. Min, ","""Association between Type 2 Diabetes Mellitus and Brain Atrophy: A Meta-Analysis (Diabetes Metab J 2022;46:781-802)."", ",Sep. 2022,,,"""Division of Endocrinology and Metabolism, Department of Internal Medicine, Asan Medical Center, University of Ulsan College of Medicine, Seoul, Korea."", "
136,"JR. White, ","""Economic considerations in treating patients with type 2 diabetes mellitus."", ",Dec. 2002,"""Economic considerations in treating patients with type 2 diabetes mellitus are reviewed. Glycemic control, lipid profiles, and adherence to standards of care are less than optimal in many patients with type 2 diabetes mellitus. Diabetes has an enormous economic impact, and its related costs in the United States are expected to increase as the frequency of the disease increases. A substantial portion of diabetes-related health care expenditures is allotted to the treatment of cardiovascular disease, a major complication of diabetes. Significant health care resources are spent in a reactive manner (i.e., after complications have developed), with little emphasis on preventive care. One large study conducted in the United Kingdom demonstrated that providing intensive blood glucose control significantly reduced the risk of microvascular complications, such as retinopathy, nephropathy, and neuropathy, in patients with type 2 diabetes mellitus. Factors to consider in selecting pharmacotherapy for these patients include the magnitude of change in measures of glycemic control provided by the medication, other desired metabolic changes and outcomes (e.g., blood pressure and lipid changes), mechanism of action, adverse effects, contraindications, patient adherence, and cost. Early interventions, such as annual urinalysis and screening for microalbuminemia, annual comprehensive eye examination by an ophthalmologist or optometrist, and screening for neuropathy and foot problems are cost-effective ways of reducing diabetes-related complications. Interventions recommended for reducing the risk for cardiovascular complications in patients with type 2 diabetes mellitus include lipid control, blood pressure control, aspirin therapy, smoking cessation, and weight loss. Achieving and maintaining glycemic control in patients with type 2 diabetes mellitus improves quality of life and is cost-effective, especially among patients with comorbid heart disease, hypertension, or both.""",,"""Washington State University, Department of Pharmacotherapy, College of Pharmacy, Health Sciences Building, Suite 210, 310 North Riverpoint Boulevard, Box S, Spokane, WA 99202-1675, USA. whitej@wsu.edu"", "
137,"T. Zhang, M. Shaw and N. Cherbuin, ","""Association between Type 2 Diabetes Mellitus and Brain Atrophy: A Meta-Analysis (Diabetes Metab J 2022;46:781-802)."", ",Sep. 2022,,,"""Centre for Research on Ageing, Health and Wellbeing, The Australian National University, Canberra, Australia."", ""Centre for Research on Ageing, Health and Wellbeing, The Australian National University, Canberra, Australia."", ""Centre for Research on Ageing, Health and Wellbeing, The Australian National University, Canberra, Australia."", "
138,"J. Phillips and PJ. Phillips, ","""Children get type 2 diabetes too."", ",Sep. 2009,"""In recent years there has been a worldwide increase in the number of diagnoses of type 2 diabetes mellitus (T2DM) in children and adolescents. This has become a major focus for the work of the International Diabetes Federation. In Australia, most children and adolescents with diabetes have type 1 diabetes. However, more young Australians are developing T2DM.""",,"""Department of Paediatrics, Flinders Medical Centre, Adelaide, South Australia."", "
139,"T. Yamaguchi and T. Sugimoto, ","""Bone metabolism and fracture risk in type 2 diabetes mellitus Review."", ",2011,"""Osteoporosis and type 2 diabetes mellitus (T2DM) are now prevalent in aging and westernized societies, and adversely affect the health of the elderly people by causing fractures and vascular complications, respectively. Recent experimental and clinical studies show that both disorders are etiologically related to each other through the actions of osteocalcin and adiponectin. Meta-analyses of multiple clinical studies show that hip fracture risk of T2DM patients is increased to 1.4 to 1.7-folds, although BMD of the patients is not diminished. Vertebral fracture risk of T2DM patients is also increased, and BMD is not useful for assessing its risk. These findings suggest that bone fragility in T2DM depends on bone quality deterioration rather than bone mass reduction. Thus, surrogate markers are needed to replace the insensitivity of BMD in assessing fracture risks of T2DM patients. Markers related to advanced glycation end products as well as insulin-like growth factor-I may be such candidates, because these substances were experimentally shown to modulate bone quality in DM. In practice, it is important for physicians to assess fracture risk in T2DM patients by evaluating prior VFs and fracture histories using spine X-ray and interview, respectively, until the usefulness of surrogate markers is established.""",,"""Internal Medicine 1, Shimane University Faculty of Medicine, Japan. yamaguch@med.shimane-u.ac.jp"", "
140,"W. Wang, CC. Pan, WY. Zhao, JY. Sheng, QQ. Wu and SS. Chen, ","""Comments on ""Effect of type 2 diabetes mellitus in the prognosis of acute-on-chronic liver failure patients in China""."", ",Apr. 2022,"""A study addressing the influence of type 2 diabetes on the prognosis of acute-on-chronic liver failure patients was reviewed. Some statistical deficiencies were found in the reviewed article, and the sample size was too small to support the study. In addition, age should have been considered as one of the prognostic factors.""","Age, Complication, Liver failure, Prognosis, Type 2 diabetes mellitus, ","""Department of Interventional Oncology, Taizhou Municipal Hospital, Taizhou 318000, Zhejiang Province, China."", ""School of Medicine Taizhou University, Taizhou 318000, Zhejiang Province, China."", ""School of Medicine Taizhou University, Taizhou 318000, Zhejiang Province, China."", ""School of Medicine Taizhou University, Taizhou 318000, Zhejiang Province, China."", ""School of Medicine Taizhou University, Taizhou 318000, Zhejiang Province, China."", ""Department of Obstetrics and Gynecology, Taizhou Women and Children's Hospital of Wenzhou Medical University, Taizhou 318000, Zhejiang Province, China. chensisiobstetrics@126.com."", "
141,"TC. Hardman and SW. Dubrey, ","""New therapies in the management of type 2 diabetes mellitus."", ",Apr. 2013,,,"""Niche Science and Technology Ltd., London, UK. tim.hardman@niche.org.uk"", "
142,"RS. Weinstock, ","""Treating type 2 diabetes mellitus: a growing epidemic."", ",Apr. 2003,,,
143,"S. Colagiuri, K. Borch-Johnsen, C. Glümer and D. Vistisen, ","""There really is an epidemic of type 2 diabetes."", ",Aug. 2005,,,"""Department of Endocrinology and Diabetes, Prince of Wales Hospital, Sydney, NSW, Australia."", "
144,"J. Unger, D. Hinnen, B. Schreiner and C. Parkin, ","""Putting medications where they belong: practical advice for managing type 2 diabetes in clinical practice."", ",Feb. 2013,"""Type 2 diabetes mellitus (T2DM) is a complex metabolic disorder that affects almost 24 million Americans. Healthcare providers often do not initiate and/or intensify therapy appropriately during patient visits, which may be due, in part, to a lack of understanding of the new diabetes medications. This review focuses on means by which primary care nurse practitioners (NPs) might evaluate the utility of pharmacologic agents based upon their relation to the pathogenesis of T2DM.""",,"""Catalina Research Institute, Chino, California, USA."", "
145,"JB. Rey and M. Hawks, ","""Prevention or Delay of Type 2 Diabetes Mellitus: Recommendations From the American Diabetes Association."", ",Apr. 2022,,,"""Uniformed Services University of the Health Sciences, Bethesda, MD, USA."", ""Uniformed Services University of the Health Sciences, Bethesda, MD, USA."", "
146,"EA. Gale, ","""Is type 2 diabetes a category error?,"" ",Jun. 2013,,,"""University of Bristol, Bristol, UK. edwin.gale@bristol.ac.uk"", "
147,"YC. Gu and JC. Yu, ","""Mechanisms of gastrointestinal surgery in treatment of type 2 diabetes."", ",Jun. 2011,"""Type 2 diabetes can be treated by gastrointestinal surgery, but the underlying mechanism is unclear. This review summarizes the possible mechanisms which include weight loss, gastrointestinal hormones, foregut hypothesis, hindgut hypothesis, adipocytokines, and inflammatory factors.""",,"""Department of General Surgery, PUMC Hospital, CAMS and PUMC, Beijing 100730, China."", "
148,"P. King, I. Peacock and R. Donnelly, ","""The UK prospective diabetes study (UKPDS): clinical and therapeutic implications for type 2 diabetes."", ",Nov. 1999,,,"""Jenny O'Neill Diabetes Centre, Derbyshire Royal Infirmary, Derby, UK."", "
149,"JP. Palmer, ","""Therapeutic importance of subsets of type 2 diabetes?,"" ",May. 2000,,,
150,,"""Type 2 diabetes in children and adolescents. American Diabetes Association."", ",Mar. 2000,,,
151,"V. Kerlan, ","""Type 2 diabetes in young subjects."", ",Feb. 2005,,,"""CHU de Brest."", "
152,"Y. Wu, X. He, J. Zhou, Y. Wang, L. Yu, X. Li, T. Liu and J. Luo, ","""Impact of healthy lifestyle on the risk of type 2 diabetes mellitus in southwest China: A prospective cohort study."", ",Dec. 2022,"""To explore the influence of nine healthy lifestyle factors on the risk of type 2 diabetes mellitus in adults in Guizhou, China.""","Healthy lifestyle, Incidence, Type 2 diabetes mellitus, ","""Guizhou Center for Disease Control and Prevention, Guiyang, China."", ""Department of Endocrinology and Metabolism, Guizhou Provincial People's Hospital, Guiyang, China."", ""Guizhou Center for Disease Control and Prevention, Guiyang, China."", ""Guizhou Center for Disease Control and Prevention, Guiyang, China."", ""Guizhou Center for Disease Control and Prevention, Guiyang, China."", ""Guizhou Center for Disease Control and Prevention, Guiyang, China."", ""Guizhou Center for Disease Control and Prevention, Guiyang, China."", ""Department of Endocrinology and Metabolism, Guizhou Provincial People's Hospital, Guiyang, China."", "
153,"AR. Rolla, ","""Addressing the need to tailor treatment to the spectrum of type 2 diabetes: new perspectives."", ",May. 2009,"""Type 2 diabetes mellitus is characterized by the progressive loss of beta cell function, which occurs after many years of insulin resistance. Within this definition, clinicians may see a diverse array of presentations, suggesting different proportions of these two pathogenic factors and a complex etiology. There are also differences in the rate of type 2 diabetes progression in each patient, so treatments must be reviewed frequently to respond to changing severity of pathophysiologies. This article first considers some of the heritable factors and the pathogenic heterogeneity of type 2 diabetes. Relevant socioeconomic and demographic factors influencing disease development are reviewed after that, while emphasizing how a patient's treatment requires changes over time.""",,"""Beth Israel Deaconess Medical Center, Harvard Medical School, Boston, Massachusetts 02215, USA. arolla@caregroup.harvard.edu"", "
154,"D. Palitzsch and M. Bührlen, ","""Prevention of type 2 diabetes mellitus."", ",May. 2012,,,"""Klinik für Endokrinologie, Diabetologie, Angiologie und Innere Medizin, Zentrale Notaufnahme, Klinikum Neuperlach Städt. Klinikum München GmbH. palitzsch@klinikum-muenchen.de"", "
155,"C. Kappel and DG. Dills, ","""Type 2 diabetes: update on therapy."", ",1998,"""Type 2 diabetes mellitus is a common disorder, affecting an estimated 12 million individuals in the United States. The primary care provider should be aware of rapidly expanding treatment options, including diet, exercise, oral therapy, and insulin.""",,"""Section of Endocrinology, University of Wisconsin, Madison 53792, USA."", "
156,"F. Ismail-Beigi, ","""Pathogenesis and glycemic management of type 2 diabetes mellitus: a physiological approach."", ",Apr. 2012,"""Type 2 diabetes (T2DM) is an incompletely understood chronic, progressive multifactorial disease with insulin resistance and decreased β-cell function playing dominant roles in its genesis.  The worldwide incidence of the disease is rapidly increasing to pandemic proportions.  The increase in incidence of T2DM is attributable to changes in lifestyle, diet and obesity, but other causes remain to be defined.  The disease is a major cause of early mortality due to atherosclerosis and cardiovascular disease (CVD), and is the leading cause of blindness, leg amputations, and chronic renal disease.  Hyperglycemia inT2DM becomes manifest once insulin secretion is no longer adequate for the metabolic demands of the individual. The approach to glycemic management of the disease is increasingly based on understanding the underlying pathophysiology.  Efforts to maintain and preserve β-cell function during the earlier phases of the disease may have important implications in prevention of subsequent complications of T2DM.  Finally, the approach to glycemic management of the disease should be individualized by considering the psycho-socio-economic condition of each patient, and glycemic targets should reflect presence of comorbid conditions, age of the patient, the stage of their disease in terms of duration, presence of macro- and micro-vascular complications, and propensity for severe hypoglycemia.""",,"""Departments of Medicine and Biochemistry, Case Western Reserve University, Cleveland, OH 44106-4951, USA. fxi2@case.edu"", "
157,"EK. Mitsiou, K. Tziomalos, P. Anagnostis, A. Karagiannis and VG. Athyros, ","""Multifactorial intervention for the prevention of vascular complications of type 2 diabetes."", ",2009,,,
158,"KG. Tolman, V. Fonseca, MH. Tan and A. Dalpiaz, ","""Narrative review: hepatobiliary disease in type 2 diabetes mellitus."", ",Dec. 2004,"""Diabetes mellitus is the fifth leading cause of death in the United States; 17 million people are affected. Liver disease is one of the leading causes of death in persons with type 2 diabetes. The standardized mortality rate for death from liver disease is greater than that for cardiovascular disease. The spectrum of liver disease in type 2 diabetes ranges from nonalcoholic fatty liver disease to cirrhosis and hepatocellular carcinoma. The incidence of hepatitis C and acute liver failure is also increased. Nonalcoholic fatty liver disease is now considered part of the metabolic syndrome, and, with alcohol and hepatitis C, is the most common cause of chronic liver disease in the United States. Weight reduction and exercise are the mainstays of treatment for nonalcoholic fatty liver disease, but there are promising results with the new thiazolidinediones (pioglitazone and rosiglitazone) as well as metformin and 3-hydroxy-3-methylglutaryl coenzyme A inhibitors.""",,"""University of Utah and University Hospitals and Clinics, Salt Lake City, Utah 84132, USA. keith.tolman@hsc.utah.edu"", "
159,"F. Formiga, ","""Type 2 diabetes mellitus in the elderly, a great opportunity and many challenges."", ",2010,,,
160,"BL. Feuerstein and RS. Weinstock, ","""Diet and exercise in type 2 diabetes mellitus."", ",Feb. 1997,,,"""Department of Medicine, SUNY Health Science Center, Syracuse, USA."", "
161,,"""Quitting smoking cuts your risk of developing type 2 diabetes by 30-40."", ",Dec. 2023,,,
162,"L. Hieronymus and GT. Miller, ","""TYPE 2 DIABETES AND A HEALTHY FAMILY LIFESTYLE."", ",2015,,,
163,"S. Ackroyd, ","""Understanding type 2 diabetes."", ",,"""Practice profiles are reflective pieces written by nurses in practice and based on continuing professional development articles. This week Susan Ackroyd discusses type 2 diabetes.""",,
164,"JS. Skyler, ","""Glucose control in type 2 diabetes mellitus."", ",Nov. 1997,,,
165,"SB. Harris, O. Bhattacharyya, R. Dyck, MN. Hayward and EL. Toth, ","""Type 2 diabetes in Aboriginal peoples."", ",Apr. 2013,,,
166,"DE. Trachtenbarg, ","""Ten errors to avoid in managing type 2 diabetes. Getting back to the basics."", ",Aug. 1998,"""It is important to remember the basics when treating patients with diabetes. Follow current diagnostic criteria, and clearly communicate findings to patients. Set target glucose levels, and encourage patients to take an active role in controlling their disease. Set time limits for therapy effectiveness, and use combination therapy with caution. Recommend use of home glucose monitors and regular monitoring of glucose levels throughout the day. For more flexibility, adapt insulin dosages to patient needs and use basal insulin, rather than sliding-scale insulin. Finally, remember that early detection and intervention can delay or even prevent complications.""",,"""University of Illinois College of Medicine, USA. tracht@mmci.org"", "
167,"PG. Kopelman and GA. Hitman, ","""Diabetes. Exploding type II."", ",,,,"""St Bartholomew's and the Royal London School of Medicine & Dentistry, Queen Mary and Westfield College, UK."", "
168,"CS. Kow, DS. Ramachandram and SS. Hasan, ","""Optimizing antidiabetic therapy: Enhancing COVID-19 outcomes for patients with type-2 diabetes."", ",Dec. 2023,,,"""School of Pharmacy, International Medical University, 126, Jalan Jalil Perkasa, Bukit Jalil, Kuala Lumpur, Malaysia. Electronic address: chiasiang_93@hotmail.com."", ""School of Pharmacy, Monash University Malaysia, Bandar Sunway, Selangor, Malaysia."", ""School of Applied Sciences, University of Huddersfield, Huddersfield, United Kingdom."", "
169,"M. Menzen, ","""60/m-Review of the existing treatment of a type 2 diabetes mellitus : Preparation for the medical specialist examination: part 130."", ",Apr. 2022,,,"""Abteilung Innere Medizin - Diabetologie, Gemeinschaftskrankenhaus Bonn, Bonner Talweg 4-6, 53113, Bonn, Deutschland. m.menzen@gk-bonn.de."", "
170,"J. Arroyo Bros, A. Caixàs Pedragós and FX. Pi-Sunyer, ","""Treatment of type 2 diabetes: revision of current therapeutical options and priorities."", ",Nov. 2007,"""The paradigm of type 2 diabetes mellitus treatment is based in an adequate meal plan and the regular practice of physical exercise. The benefits of these measures are of evident as it is the perseverance in their compliance. In the daily practice, this reality favours the early implementation of a pharmacological therapy that, in the opinion of different experts, would be simultaneous to the introduction of life style changes. In the last years, new drugs have been developed. On the one hand, there are agents with beneficial effects not only on blood glucose control but also on the components of metabolic syndrome. Other drugs, according to different experts, have doubtful therapeutical contribution. The appearance of new drugs to treat obesity, associated with diabetes or not, extends other possibilities of choice to take into account. The great variety of options makes the decision of the adequate therapy more difficult. In the last decade, many therapeutic guidelines have been developed, with convergences and divergences that may mislead the inexpert practitioners. In this review we propose some practical advise in diet and exercise, and an evaluation of the different drugs and rules of intervention proposed in the different therapeutic guidelines. The ultimate goal is to facilitate and direct type 2 diabetes management.""",,"""Unidad de Diabetes, Endocrinología y Nutrición, Hospital de Sabadell, Sabadell, Barcelona, Spain."", "
171,"PZ. Li, LY. Zhu and SH. Zhu, ","""Mechanism research progress of bariatric surgery for type 2 diabetes mellitus."", ",Nov. 2012,"""Patients with type 2 diabetes mellitus experience a complete and comfirm diabetic remission after bariatric surgery. Although weight-loss, reduction of food intake and other factors may play important roles in diabetic resolution after bariatric surgery, the major mechanism is the change in gastrointestinal hormones. Further research is essential to better understand these mechanisms and bariatric surgery may ultimately become a major tool in the treatment of type 2 diabetes mellitus.""",,"""Department of General Surgery, The Third Xiangya Hospital, Central South University, Changsha 410013, China."", "
172,"L. Sawatsky, J. Halipchuk and B. Wicklow, ","""Type 2 diabetes in a four-year-old child."", ",Jul. 2017,,,"""Health Sciences Centre Winnipeg (Sawatsky, Halipchuk); Department of Pediatrics and Child Health (Wicklow), Rady Faculty of Health Sciences, University of Manitoba; The Children's Hospital Research Institute of Manitoba (Wicklow), Winnipeg, Man. Lsawatsky2@hsc.mb.ca."", ""Health Sciences Centre Winnipeg (Sawatsky, Halipchuk); Department of Pediatrics and Child Health (Wicklow), Rady Faculty of Health Sciences, University of Manitoba; The Children's Hospital Research Institute of Manitoba (Wicklow), Winnipeg, Man."", ""Health Sciences Centre Winnipeg (Sawatsky, Halipchuk); Department of Pediatrics and Child Health (Wicklow), Rady Faculty of Health Sciences, University of Manitoba; The Children's Hospital Research Institute of Manitoba (Wicklow), Winnipeg, Man."", "
173,"OE. Johansen, ","""Cardiovascular disease and type 2 diabetes mellitus: a multifaceted symbiosis."", ",2007,"""Chronic hyperglycaemia (e.g. type 2 diabetes mellitus (T2DM) and prediabetes) in humans is associated with an increased risk of cardiovascular (CV) complications, and, vice versa, the presence of CV complications (e.g. myocardial infarction, stroke or intermittent claudication) among patients heightens the risk of T2DM or prediabetes. In both cases (i.e. chronic hyperglycaemia and CV complications), significant diagnostic and treatment challenges resulting from a broad range of factors may serve as barriers to reducing the deleterious societal impact of T2DM and prediabetes. These challenges often include clinicians: failing to intervene early and aggressively enough among patients with T2DM to achieve CV risk factor control; failing to efficaciously identify T2DM patients with already established CV complications; and failing proactively to assess individuals at high risk for T2DM. This review discusses the apparent symbiosis between CV disease and T2DM, with a focus on identifying patients with established T2DM or at risk for T2DM; traditional and novel risk factors and markers for CV disease in T2DM; challenges related to diagnosing CV disease in T2DM; and organization of T2DM care in order to prevent CV complications. These are issues that require attention because identifying patients at high risk for T2DM can halt or reduce their further glycaemic deterioration if addressed properly, and because novel markers and non-invasive tests could be applied in patients with T2DM as a means of detecting and possibly treating unrecognized CV disease in time. Furthermore, several approaches for T2DM care can be effective in controlling the CV risk factors contributing to CV complications.""",,"""Medical Department, Asker and Baerum Hospital, Rud, Norway. odd.erik.johansen@broadpark.no"", "
174,"RA. DeFronzo, ","""Current issues in the treatment of type 2 diabetes. Introduction."", ",Mar. 2010,,,
175,"YN. Chen, YL. Chen, WM. Chen, M. Chen, BC. Shia, JY. Ko and SY. Wu, ","""H1-antihistamine use and head and neck cancer risk in type 2 diabetes mellitus."", ",2023,"""This study aimed to examine the association between the use of H1-antihistamines (AHs) and head and neck cancer (HNC) risk in patients with type 2 diabetes mellitus (T2DM). Data from the National Health Insurance Research Database of Taiwan were analyzed for the period from 2008 to 2018. A propensity-score-matched cohort of 54,384 patients each in the AH user and nonuser groups was created and analyzed using Kaplan-Meier method and Cox proportional hazards regression. The results showed that the risk of HNC was significantly lower in AH users (adjusted hazard ratio: 0.55, 95% CI: 0.48 to 0.64) and the incidence rate was also lower (5.16 vs. 8.10 per 100,000 person-years). The lower HNC incidence rate in AH users (95% CI: 0.63; 0.55 to 0.73) suggests that AH use may reduce the risk of HNC in T2DM patients.""","H1-Antihistamine, Head and neck cancer, Incidence, Incidence rate, Type 2 diabetes, ","""Department of Otorhinolaryngology, Lo-Hsu Medical Foundation, Lotung Poh-Ai Hospital, Yilan, Taiwan."", ""Department of Otorhinolaryngology, Lo-Hsu Medical Foundation, Lotung Poh-Ai Hospital, Yilan, Taiwan."", ""Graduate Institute of Business Administration, College of Management, Fu Jen Catholic University, Taipei, Taiwan."", ""Artificial Intelligence Development Center, Fu Jen Catholic University, Taipei, Taiwan."", ""Graduate Institute of Business Administration, College of Management, Fu Jen Catholic University, Taipei, Taiwan."", ""Artificial Intelligence Development Center, Fu Jen Catholic University, Taipei, Taiwan."", ""Graduate Institute of Business Administration, College of Management, Fu Jen Catholic University, Taipei, Taiwan."", ""Artificial Intelligence Development Center, Fu Jen Catholic University, Taipei, Taiwan."", ""Department of Otorhinolaryngology, Lo-Hsu Medical Foundation, Lotung Poh-Ai Hospital, Yilan, Taiwan."", ""Department of Otolaryngology, National Taiwan University Hospital and National Taiwan University College of Medicine, Taipei, Taiwan."", ""Graduate Institute of Business Administration, College of Management, Fu Jen Catholic University, Taipei, Taiwan."", ""Artificial Intelligence Development Center, Fu Jen Catholic University, Taipei, Taiwan."", ""Department of Food Nutrition and Health Biotechnology, College of Medical and Health Science, Asia University, Taichung, Taiwan."", ""Division of Radiation Oncology, Lo-Hsu Medical Foundation, Lotung Poh-Ai Hospital, Yilan, Taiwan."", ""Big Data Center, Lo-Hsu Medical Foundation, Lotung Poh-Ai Hospital, Yilan, Taiwan."", ""Department of Healthcare Administration, College of Medical and Health Science, Asia University, Taichung, Taiwan."", ""Cancer Center, Lo-Hsu Medical Foundation, Lotung Poh-Ai Hospital, Yilan, Taiwan."", ""Centers for Regional Anesthesia and Pain Medicine, Taipei Municipal Wan Fang Hospital, Taipei Medical University, Taipei, Taiwan."", ""Department of Management, College of Management, Fo Guang University, Yilan, Taiwan."", "
176,"P. Struebing, ","""Type 2 diabetes. Thoughts about an epidemic and your role in battling it."", ",Apr. 2000,,,
177,"A. Kassab and A. Piwowar, ","""Cell oxidant stress delivery and cell dysfunction onset in type 2 diabetes."", ",Sep. 2012,"""Most known pathways of diabetic complications involve oxidative stress. The mitochondria electron transport chain is a significant source of reactive oxygen species (ROS) in insulin secretory cells, insulin peripheral sensitive cells and endothelial cells. Elevated intracellular glucose level induces tricarboxylic acid cycle electron donor overproduction and mitochondrial proton gradient increase leading to an increase in electron transporter lifetime. Subsequently, the electrons leaked combine with respiratory oxygen (O(2)) resulting in superoxide anion ((•)O(2)(-)) production. Advanced glycation end products derive ROS via interaction with their receptors. Elevated diacylglycerol and ROS activate the protein kinase C pathway which, in turn, activates NADPH oxidases. A vicious circle of pathway derived ROS installs. Pathologic pathways induced ROS are activated and persistent though glycemia returns to normal due to hyperglycemia memory. Endothelial nitric oxide synthase may produce both superoxide anion ((•)O(2)(-)) and nitric oxide (NO) leading to peroxynitrite ((•)ONOO(-)) generation. Homocysteine is also implicated in oxidative stress pathogenesis. In this paper we have highlighted the pathologic mechanisms of ROS on atherosclerosis, renal dysfunction, retina dysfunction and nerve dysfunction in type 2 diabetes. Cell oxidant stress delivery have pivotal role in cell dysfunction onset and progression of angiopathies but an early introduction of good glycemic control may protect cells more efficiently than antioxidants.""",,"""Biochemistry Laboratory, CHU Farhat Hached, Sousse, Tunisia. kassab.asma@laposte.net"", "
178,"H. Khachatryan and G. Hakobyan, ","""Diagnostic and prognostic value of indicators of markers of bone metabolism in type 2 diabetes mellitus patients with UV functionalised dental implants."", ",Dec. 2023,"""Diabetes mellitus affects many organ systems, including bone tissue.In diabetic patients, the activity of osteoblasts is suppressed and the activity of osteoclasts in the bone matrix increases, bone formation decreases, which can disrupt the process of osseointegration and ultimately lead to disintegration and failed implants. Based on the foregoing, with diabetes, it is very important to study bone metabolism to predict and dynamically control dental implants.""","Dental implant, Type 2 diabetes, UV photofunctionalization, ","""Maxillofacial surgeon, Central clinical Military hospital (Ministry of Defence of The Republic of Armenia), Department of Oral and Maxillofacial Surgery, Yerevan State Medical University after M. Heratsi, Armenia."", ""Department of Oral and Maxillofacial Surgery, Yerevan State Medical University after M. Heratsi, Armenia. Electronic address: prom_hg@yahoo.com."", "
179,"CA. Reasner and RA. Defronzo, ","""Treatment of type 2 diabetes mellitus: a rational approach based on its pathophysiology."", ",May. 2001,,,
180,"J. Mann, ","""Gene nutrient interactions in type 2 diabetes--a clinical perspective."", ",Jan. 2002,,,"""University of Otago, Dunedin, New Zealand. human-nutrition@otago.ac.nz"", "
181,"NB. Irland, ","""The story of type 2 diabetes."", ",2011,,,"""Providence St. Vincent Medical Center in Portland, OR, USA. nancy.irland@providence.org"", "
